osmid,safety_tag_value,is_lit,polyline6
684277779,6,0,ut`x}zxIyso|fss]qkmeBpjtfD
684277779,6,0,ut`x}zxIyso|fss]tlt~D{wsvJ~zdoKqt{nW
"29077144,970197145,970197146",5,1,ut`x}zxIyso|fss]bn|~Pb}l~Uz`|xDpt}lFpmmdApzzwA~rflb@|h|og@vv~~A|rguBnn~ux@rdelaB
684277779,1,0,gao~`{xIghztass]pkmeBqjtfD
684277780,6,0,gao~`{xIghztass]g_khMbai|S
"1536128505,1536128506,100294073",6,0,gao~`{xIghztass]}fsyQksceKudfxSu`f{Mmn}{@s|qn@ugrlU{jusU
5043295,6,1,_kehkzxIgbadkts]r~rv_@wcnu|@tmpaFgxneW
684277778,1,1,_kehkzxIgbadkts]jnllVzzthKnzycItsvrHj~btFdhjmG~tjqOv}aaUv~~uHfgpbOrkbne@p}zsx@jgvue@hjot_A
684277779,1,0,_kehkzxIgbadkts]_{doKpt{nWult~DzwsvJ
67602209,5,1,{yptcwxIaa{awms]glxrs@xbvbT
"29077144,970197145,970197146",1,1,{yptcwxIaa{awms]on~ux@sdelaBwv~~A}rguB_sflb@}h|og@qmmdAqzzwA{`|xDqt}lFcn|~Pc}l~U
67602209,5,1,{yptcwxIaa{awms]ns}rAc}sd@zhiaTcllnHndtkPijipI
5043295,5,0,u|_ncyxIg``aaws]jl__D{ediV
4255581,1,1,u|_ncyxIg``aaws]guqjcB{cbsg@kd`jyD{fuzzA
5043295,1,1,u|_ncyxIg``aaws]umpaFfxneWs~rv_@vcnu|@
5043295,1,0,io_n~xxIcgekxws]kl__DzediV
5043295,5,0,io_n~xxIcgekxws]f}zsAcbufI
27784675,5,0,io_n~xxIcgekxws]fkdeIy|beBdp}tIqljxHv}`rFc}szKtjf}Col~bDtbilJaqx{E
4255581,1,1,ixsdbbyI_mype{s]agjl`DafsyfA
4255581,1,1,ixsdbbyI_mype{s]jd`jyDzfuzzAfuqjcBzcbsg@
4255582,1,1,ixsdbbyI_mype{s]apsue@aabncCkxdnI}rqkEcewbv@y~|pLukt}d@_kdwH_djuF_qtR
956043073,1,1,meovbrxIuujrvht]zm`j`DsibhcF
46102058,1,1,meovbrxIuujrvht]e`ytU~{vab@y_kmOr|{{UayqsGlsdkLifpg@nmy}@eyzoG|uhsM
157000735,3,1,meovbrxIuujrvht]plxxKjlrjJbj|fO|fviK~sf_YzfgdQvnkwIferzEbfklGt~ksD
1465149996,2,1,meovbrxIuujrvht]ox_kEct{qCsu{|Fe}}sE}psaH_q}qFkccfUcpovQ
956043073,1,1,qvmkamxIi`n{zot]{m`j`DribhcF
4255594,1,1,qvmkamxIi`n{zot]et{|LefdxHktucMyopgFocwpUcykkF}}yhGawpJsowoN~vqdAcajlKjmo`DqahbRvujcI{dlkKjvpoCunhoIr}{p@}`wdOx``Q}|tbSar|iAghdxGyz|t@qumsMmvmvD_t~hLiozjIufnaL{svuL{lyyEqsbjIos|tEkhusQkwzpAectiK{etNqbrzPbld{Cywf}U`jegFevioMjfigJkox}Lrfy_Ie}h_Hrrld[usuvO~vsm~Dy|szoB
"956043073,1089300434,1089300435",5,1,qvmkamxIi`n{zot]lmx_Yuha_e@xs_yh@gdarx@vy~_Emd|iG`}d~BsnuuD`ikwQme~lX
46102058,3,0,_cuh|sxIeals~et]olrkFrisgL
4255540,1,1,_cuh|sxIeals~et]esuxzBopzxuAurj|Ispm~Fq{kkEmcit@{xiim@zbfpIgj`hNg}v@
46102058,1,1,_cuh|sxIeals~et]dyzoG}uhsMhfpg@omy}@`yqsGmsdkLx_kmOs|{{Ud`ytU_|vab@
129325871,3,0,{`xnxoxIqrwf`gt]g{vkLnslhR
157000735,4,1,{`xnxoxIqrwf`gt]|~u{XfralT~xd}N~aqeJpv|kL~s|}G
157000735,1,0,{`xnxoxIqrwf`gt]cfklGu~ksDwnkwIgerzE_tf_Y{fgdQcj|fO}fviKqlxxKklrjJ
129317513,1,0,{kejpsxIclud|it]_bdmf@x~yhs@
1465149996,1,1,{kejpsxIclud|it]q`|}QoyqxNkwhpCgnkeCgiqgtDwya}zC
1465149996,1,1,{kejpsxIclud|it]jccfUbpovQ|psaH~p}qFru{|Fd}}sEnx_kEbt{qC
1059988395,1,0,w_li}awIuxbtw_v]|_tiIfg~mF
1059988395,1,0,y~v~rawImpcep_v]}_tiIgg~mF
