osmid,safety_tag_value,is_lit
953843282,3,0
953843282,1,0
4264244,5,0
37371130,5,0
"1442874051,816227973",5,0
"1442874049,816227973",5,0
"1124720800,1124720801,4264244,816227982",6,0
4264244,1,0
"1442874058,1442874052",5,1
"1442874052,1442874046",5,1
"37371130,816227970,1124720799",1,0
37371130,1,0
"1442874048,1442874050",5,0
"1442874048,1442874042",5,0
1442874032,1,0
"1442874048,1442874050",1,0
"1442874051,816227973",1,0
1442874055,5,1
"1442874052,1442874046",1,0
1442874046,5,0
"1442874049,816227973",1,0
49932200,4,0
49932200,1,0
"49932200,37725952",3,0
"1443526072,1443526071",4,0
"1443526072,1253777516",4,0
857612787,4,0
857612787,1,0
1339477837,5,1
"857612787,116933237,116933222,116933263",5,0
"1339477837,1339477839",3,0
4256611,5,0
304095757,5,0
4256611,1,0
1517306026,5,0
304095757,1,0
1516733636,5,0
"103779301,304095757,4256838",4,0
"1516733659,1516733636",5,0
2793132,3,0
28023303,3,0
28023303,4,0
2793132,1,0
"1515070656,1515070657",3,0
"1515070656,1515070658",3,0
81446557,2,0
2837144,1,1
28023303,1,0
"1515911234,1515911230,1515911231",4,0
"1515070659,1515070660",4,0
"1515911256,1515911275",4,0
3088642,3,0
49932204,3,0
888009901,3,0
3088642,1,0
3088642,4,0
"1460595036,1460595037",3,0
"1515911265,1515911260",3,0
49932204,1,0
"1515911258,1515911254",3,1
"1515911259,1515911254",3,0
888009901,1,0
"1460595041,1460595038",3,0
"1515911264,1515911257",3,0
49932204,4,0
1515049377,4,0
3241247,4,0
2631519,4,0
1515049377,1,0
"1515049378,1515049379",4,0
"1515070632,1515070628",4,0
628403453,2,0
23231475,2,0
628403453,1,0
224188122,4,0
816032227,4,0
"1274293169,816032227,139291982,1232168831",4,0
224187909,4,0
224188120,4,0
224188122,1,0
32264178,3,0
"224187706,816032227,122056180",3,0
816032227,1,0
"1274293168,1274293166",3,0
"1274293169,816032227,139291982,1232168831",1,0
"217313923,107190663,1274293169,694352948,1305477374",4,0
"1274293170,1274293163,1274293167",3,0
"8173312,837448597",4,0
"668776633,668776630",4,0
"311804832,668776633,668776634,1232962029",5,0
"8173312,837448597",1,0
"311804826,837448597",4,0
4253994,5,0
4253994,6,0
4253994,1,0
"1309044485,1309044478",5,0
"1269103212,1309044478",5,0
207107599,1,1
207107599,7,0
"1353410092,19206797",7,0
"19206797,1353410094",7,0
207107599,1,0
2850776,6,0
135694809,6,0
155894302,6,0
2850776,1,0
135694809,1,0
135694809,7,0
"1516078933,1516078934",6,0
"1516078933,1516078935",6,0
155894302,1,0
"1515103741,1515103742",6,0
2587700,1,0
1200972817,1,0
"1515720972,1515720974",1,0
"1515720990,1515720991",1,0
"1515720992,1515720993",1,0
"1200972817,1052231290",2,0
"1516078936,1516078937",1,1
"1516078929,1516078938",1,1
2592183,6,0
1020163495,6,0
1136273233,6,0
