edge_id,osmid,u,v,lamp_count,lamp_per_km,is_lit
450,"727187705,4366227",109167,152209,1,10.072493385196926,1
451,26747624,12821398037,109167,10,107.83392122803497,1
452,882850173,12707862352,109167,0,0.0,0
453,"4281459,882850173",12707862352,25828406,2,23.533200489177545,1
454,"1372444836,1372444837,1372444838",12707862352,12707862353,0,0.0,0
455,723924918,9782307472,2214911761,1,33.50726615382008,1
456,723924918,9782307472,109167,0,0.0,0
457,"1065195098,1065195099,1065195100",9782307472,9782307475,0,0.0,0
458,"727187705,4366227",152209,109167,2,20.144986770393857,1
459,670639403,152209,1427518605,2,21.430883124707414,1
460,"1430670720,1067121890",152209,1427518591,0,0.0,0
461,"1087555788,1209427460,1209427461",152209,2407401924,2,21.146372903789334,1
462,558603482,109168,1655084423,0,0.0,0
463,3996990,109168,12372397420,3,72.02858892017893,1
464,"602799890,865425461",109168,8066517186,0,0.0,0
465,558603482,1655084423,109168,0,0.0,0
466,558603482,1655084423,2407421212,0,0.0,0
467,"1430630771,1430642725",1655084423,13150227068,2,25.023249721649666,1
468,72056629,12372397420,856668596,0,0.0,0
469,3996990,12372397420,109168,3,72.02858892017893,1
470,3996990,12372397420,13355530364,0,0.0,0
471,1430645386,8066517186,13758188713,0,0.0,0
472,"862523826,865425461",8066517186,7944802999,1,17.23211681772277,1
473,"602799890,865425461",8066517186,109168,0,0.0,0
474,"1430645378,1430645383,1430645384,1430645385,1430645386,1430645387",8066517186,13150227069,2,24.106254449115298,1
475,327298836,109170,3340356896,1,77.77387101518909,1
476,327298836,3340356896,109170,1,77.77387101518909,1
477,327298836,3340356896,293751658,0,0.0,0
478,"1156413296,1156413300",3340356896,10754160579,1,263.16183584688287,1
479,"1156413296,1156413297,1430664863,1156413295",3340356896,10754160568,0,0.0,0
480,26781001,109175,9351174790,0,0.0,0
481,26781001,9351174790,109175,0,0.0,0
482,26781001,9351174790,29740404,9,38.25537916097366,1
483,"1430645380,1430645381,1430645382",9351174790,13150195162,2,20.450860407051987,1
484,"1430645379,1430645380",9351174790,13150195146,2,20.13400418728198,1
485,"609549098,35803710",109185,5773507849,0,0.0,0
486,"26710527,609549103",109185,15415842,0,0.0,0
487,1067121886,109185,5348480789,0,0.0,0
488,554187296,5773507849,11774241029,0,0.0,0
489,"609549098,35803710",5773507849,109185,1,60.649693944959054,1
490,35803710,5773507849,26635828,4,26.097062945850862,1
491,"554187296,609549100,609549101",5773507849,15415842,1,54.691438739169314,1
492,"609549103,26710527",15415842,109185,0,0.0,0
493,26710527,15415842,15415844,2,32.30863780180914,1
494,"1267764285,609549101",15415842,5348480788,0,0.0,0
495,"554187296,609549100,609549101",15415842,5773507849,1,54.691438739169314,1
496,"1067121887,497287410,1267764286,26780887",5348480789,538840447,1,14.644001895937121,1
497,554187295,5348480789,5348480788,1,25.111344520010874,1
498,1067121886,5348480789,109185,0,0.0,0
499,"4711432,1272436197",109190,12018351512,0,0.0,0
500,4711432,12018351512,13141252674,0,0.0,0
