edge_id,u,v,key,name,highway,length,crime_count,lamp_count,crime_per_km,lamp_per_km,is_lit
29673,9660909709,9660909693,0,,footway,12.798636760330352,0,0,0.0,0.0,0
29674,9660909694,13239411108,0,Adelaide Road,footway,127.97353913331817,0,2,0.0,15.628230754144207,1
29675,9660909694,9660909697,0,Adelaide Road,footway,16.90216276833013,0,0,0.0,0.0,0
29676,9660909694,9660909695,0,,footway,11.63950082202613,0,0,0.0,0.0,0
29677,13239411108,9660942824,0,Adelaide Road,footway,9.45527893933144,0,0,0.0,0.0,0
29678,13239411108,9660909694,0,Adelaide Road,footway,127.97353913331818,0,3,0.0,23.442346131216304,1
29679,13239411108,13239411107,0,,footway,12.341161685288448,18,0,1458.5336825671197,0.0,0
29680,9660909695,9675725237,0,Adelaide Road,footway,40.45324100820359,0,0,0.0,0.0,0
29681,9660909695,11829133005,0,Adelaide Road,footway,20.49151128302354,0,1,0.0,48.80069538006516,1
29682,9660909695,9660909694,0,,footway,11.63950082202613,0,0,0.0,0.0,0
29683,13239410405,13239402693,0,,footway,50.96828917897301,0,0,0.0,0.0,0
29684,13239410405,9660909697,0,Adelaide Road,footway,15.663282162603245,0,0,0.0,0.0,0
29685,13239410405,13239410404,0,,footway,13.424195906629913,0,0,0.0,0.0,0
29686,13239411107,9660909702,0,Adelaide Road,footway,16.045339537833772,0,1,0.0,62.32339288564576,1
29687,13239411107,9660942841,0,Adelaide Road,footway,116.48617389905036,0,1,0.0,8.584709811712276,1
29688,13239411107,13239411108,0,,footway,12.341161685288446,18,0,1458.53368256712,0.0,0
29689,9663729392,9758081217,0,,footway,8.565582371580094,0,0,0.0,0.0,0
29690,9663729392,9660909702,0,,"['footway', 'steps']",54.91811273389689,0,0,0.0,0.0,0
29691,9663729392,9994810097,0,,footway,34.1942071881032,0,0,0.0,0.0,0
29692,9660909706,9660942818,0,Adelaide Road,footway,20.906021489170325,0,1,0.0,47.83310877768001,1
29693,9660909706,10612900614,0,Adelaide Road,footway,33.98097820017129,7,1,205.99760132757785,29.42822876108255,1
29694,9660909706,9660942840,0,,footway,13.102832033890792,0,0,0.0,0.0,0
29695,9660942840,9660942841,0,Adelaide Road,footway,38.521263661891496,0,0,0.0,0.0,0
29696,9660942840,9660942835,0,Adelaide Road,footway,167.77167728053786,0,2,0.0,11.920963254457536,1
29697,9660942840,9660909706,0,,footway,13.102832033890792,0,0,0.0,0.0,0
29698,10282767613,9660909707,0,Harley Road,residential,27.687822992044623,0,0,0.0,0.0,0
29699,10282767613,10282767612,0,,service,41.197382032595044,0,1,0.0,24.273387061556676,1
29700,10282767613,12998854898,0,Harley Road,residential,12.153450706274425,0,0,0.0,0.0,0
29701,9661513057,13239402676,0,Beaumont Walk,footway,6.209678130658711,0,0,0.0,0.0,0
29702,9758081217,9663729392,0,,footway,8.565582371580094,0,0,0.0,0.0,0
29703,9994810097,9994810101,0,,footway,6.674490627744243,0,0,0.0,0.0,0
29704,9994810097,9994810091,0,,steps,2.606992260241473,0,0,0.0,0.0,0
29705,9994810097,9663729392,0,,footway,34.194207188103206,0,0,0.0,0.0,0
29706,9994810097,12547908634,0,,footway,42.021933492797444,0,0,0.0,0.0,0
29707,9663729397,9663729401,0,,footway,84.09849679473753,0,0,0.0,0.0,0
29708,9670036939,11135225999,0,Jubilee Walk,pedestrian,7.856230757401278,0,0,0.0,0.0,0
29709,9670036939,9670036944,0,,footway,22.309638423659486,0,0,0.0,0.0,0
29710,9670036939,13844007943,0,Jubilee Walk,pedestrian,30.823466193505663,0,0,0.0,0.0,0
29711,11135225999,9670036939,0,Jubilee Walk,pedestrian,7.856230757401278,0,0,0.0,0.0,0
29712,11135225999,13844007919,0,Jubilee Walk,"['footway', 'pedestrian']",105.39087473466854,0,2,0.0,18.976975046797822,1
29713,11135225999,13844007935,0,,footway,68.5814979379434,35,1,510.34172557254544,14.581192159215584,1
29714,9670036944,9670036939,0,,footway,22.309638423659486,0,0,0.0,0.0,0
29715,13186681122,13171726518,0,College Crescent,footway,13.714735048373132,0,0,0.0,0.0,0
29716,13186681122,9686042546,0,College Crescent,footway,61.25628259717612,0,1,0.0,16.324856122531006,1
29717,13186681122,13186681112,0,,footway,280.44097563738495,0,6,0.0,21.39487635985871,1
29718,9738345712,9686042576,0,,footway,26.030834291035806,0,0,0.0,0.0,0
29719,9738345712,9686042571,0,Northways Parade,footway,39.74630018685981,0,0,0.0,0.0,0
29720,9738345712,9686042559,0,Northways Parade,footway,70.08668175767991,0,0,0.0,0.0,0
29721,12979559037,12979559038,0,Finchley Road,footway,1.638774261428186,0,0,0.0,0.0,0
29722,12979559037,9686042567,0,Finchley Road,footway,11.869588544709726,0,0,0.0,0.0,0
29723,12979559037,10739172290,0,,footway,100.72459255572466,0,3,0.0,29.78418600542153,1
29724,9696644114,10052301383,0,Malden Place,unclassified,2.4626395087520683,0,0,0.0,0.0,0
29725,9702441401,9702441394,0,,service,31.097740934212855,0,0,0.0,0.0,0
29726,9707406671,9707406674,0,,service,15.953999463552385,0,0,0.0,0.0,0
29727,9707406671,9707406675,0,,service,8.429806709128854,0,0,0.0,0.0,0
29728,9707406671,9707406670,0,,service,36.351739869133766,0,0,0.0,0.0,0
29729,9707406675,9707406671,0,,service,8.429806709128854,0,0,0.0,0.0,0
29730,13171734554,9711909569,0,College Crescent,footway,30.40608426696357,0,2,0.0,65.77630918996742,1
29731,13171734554,9711909573,0,College Crescent,footway,27.376059247025907,0,1,0.0,36.52826694216913,1
29732,13171734554,13171734555,0,,footway,11.23375903655781,0,1,0.0,89.01739807180472,1
29733,13171724382,13171724392,0,,footway,8.225181227949117,0,0,0.0,0.0,0
29734,13171724382,9711909569,0,,footway,6.187678224083411,0,0,0.0,0.0,0
29735,13171724382,10739172289,0,,footway,51.12223183742841,0,0,0.0,0.0,0
29736,9734815737,9734815736,0,,footway,12.472901640163538,0,0,0.0,0.0,0
29737,9734815738,9734815736,0,,footway,16.725304706116233,0,0,0.0,0.0,0
29738,9738635570,9736083298,0,Euston Circus,footway,5.2014580175187755,0,0,0.0,0.0,0
29739,9738635570,12391573746,0,Euston Circus,footway,28.815477329255774,0,0,0.0,0.0,0
29740,9738635570,9736083303,0,,footway,64.12495823737476,0,0,0.0,0.0,0
29741,9736172323,13852524353,0,,service,8.608134370702638,0,0,0.0,0.0,0
29742,12163618192,9738697926,0,Steeles Studios,service,78.05309589239496,0,0,0.0,0.0,0
29743,12151570211,12163620372,0,,footway,13.407288692230763,0,0,0.0,0.0,0
29744,12151570211,9738697926,0,Haverstock Hill,footway,54.847538013429016,0,0,0.0,0.0,0
29745,12151570211,9738697932,0,Haverstock Hill,footway,18.179100120085486,0,0,0.0,0.0,0
29746,12163505714,12163505712,0,Haverstock Hill,"['footway', 'steps']",22.09919389126478,0,0,0.0,0.0,0
29747,12163505714,9738697932,0,Haverstock Hill,footway,20.079933220647874,0,0,0.0,0.0,0
29748,12163505714,12163620371,0,Haverstock Hill,footway,74.90265749173777,5,1,66.75330578960474,13.350661157920948,1
29749,12365832648,9738697944,0,,service,5.112674598393241,0,0,0.0,0.0,0
